initial_tier	zone_name	region_hint	city_hint	zone_id	city_id	dong_codes	status	note
1.1	압구정	seoul	강남구	gangnam-apgujeong	11680	1168011000	confirmed	공식 법정동명 1:1 매칭
1.2	반포	seoul	서초구	seocho-banpo	11650	1165010700	confirmed	공식 법정동명 1:1 매칭
1.2	삼성	seoul	강남구	gangnam-samseong	11680	1168010500	confirmed	공식 법정동명 1:1 매칭
1.2	청담	seoul	강남구	gangnam-cheongdam	11680	1168010400	confirmed	공식 법정동명 1:1 매칭
1.4	신사	seoul	강남구	gangnam-sinsa	11680	1168010700	confirmed	1급지 문맥에 따라 은평구 신사동이 아닌 강남구 신사동 선택
1.4	잠원	seoul	서초구	seocho-jamwon	11650	1165010600	confirmed	공식 법정동명 1:1 매칭
1.5	대치	seoul	강남구	gangnam-daechi	11680	1168010600	confirmed	공식 법정동명 1:1 매칭
1.5	서초	seoul	서초구	seocho-seocho	11650	1165010800	confirmed	공식 법정동명 1:1 매칭
1.6	도곡	seoul	강남구	gangnam-dogok	11680	1168011800	confirmed	공식 법정동명 1:1 매칭
1.6	역삼	seoul	강남구	gangnam-yeoksam	11680	1168010100	confirmed	공식 법정동명 1:1 매칭
1.7	개포	seoul	강남구	gangnam-gaepo	11680	1168010300	confirmed	공식 법정동명 1:1 매칭
1.7	논현	seoul	강남구	gangnam-nonhyeon	11680	1168010800	confirmed	공식 법정동명 1:1 매칭
1.7	방배	seoul	서초구	seocho-bangbae	11650	1165010100	confirmed	공식 법정동명 1:1 매칭
1.7	여의도	seoul	영등포구	yeongdeungpo-yeouido	11560	1156011000	confirmed	공식 법정동명 1:1 매칭
1.7	이촌	seoul	용산구	yongsan-ichon	11170	1117012900	confirmed	공식 법정동명 1:1 매칭
1.7	잠실	seoul	송파구	songpa-jamsil	11710	1171010100	confirmed	공식 법정동명 1:1 매칭
1.7	한남	seoul	용산구	yongsan-hannam	11170	1117013100	confirmed	공식 법정동명 1:1 매칭
1.9	수서	seoul	강남구	gangnam-suseo	11680	1168011500	confirmed	공식 법정동명 1:1 매칭
1.9	신천	seoul	송파구	songpa-sincheon	11710	1171010200	confirmed	공식 법정동명 1:1 매칭
1.9	일원	seoul	강남구	gangnam-irwon	11680	1168011400	confirmed	공식 법정동명 1:1 매칭
2.0	목동	seoul	양천구	yangcheon-mokdong	11470	1147010200	confirmed	공식 법정동명 1:1 매칭
2.1	성수	seoul	성동구	seongdong-seongsu	11200	1120011400,1120011500	confirmed	성수동1가·성수동2가를 하나의 성수 권역으로 통합
